score,sentence1_tr,sentence2_tr
4.5,"2001 yılında gönüllü olarak hadım edildi, cinsel olarak tahrik olma yeteneğini ortadan kaldırdığını iddia ettiği bir operasyon.","Ağustos 2001'de gönüllü olarak hadım edilen DeVries, ameliyatın cinsel olarak tahrik olma yeteneğini ortadan kaldırdığını söyledi."
1.0,"S&P/TSX bileşik endeksi haftaya 87.74 puan yükselirken, TSX Girişim Borsası bileşik endeksi 44.49 puan değer kazandı.","Haftasında Dow Jones sanayi ortalaması 11.56 puan yükselirken, Nasdaq Borsası 39.42 puan değer kazandı."
3.75,"Buna karşılık SuSE, Java uygulamalarını çalıştırmak için Sun'ın Java Sanal Makinesini dağıtmak için mevcut bir sözleşmeyi resmileştirirken Java 2 Standard Edition'ı lisanslayacaktır.","Nürnberg, Almanya merkezli SuSE, Sun's Java 2 Standard Edition'ı (J2SE) lisanslayacak ve Sun'ın Java Sanal Makinesini Linux yazılım hattına gönderecek."
4.5,"Benzin istasyonlarının dışında uzun kuyruklar oluştu ve İsrailliler ülkeyi felç etmekle tehdit eden bir greve hazırlanmaya hazırlanırken, insanlar Pazar günü bankamatiklerden para almak için koştular.",Pazar günü benzin istasyonlarının önünde uzun kuyruklar oluştu ve İsrailliler grevin etkilerini dile getirmeye çalışırken insanlar bankamatiklerden para almak için koştular.
1.5,"Teknoloji ağırlıklı Nasdaq bileşik endeksi, iki günlük 55.93'lük kazancın ardından 3.99 veya yüzde 0.2 düşerek 1.682.72'ye geriledi.","Teknolojiye bağlı Nasdaq Bileşik Endeksi . IXIC 8.52 puan veya yüzde 0.51 azalarak 1,670.21'e geriledi."
2.0,"SARS olup olmayacağını bilmiyoruz,"" diyor Ontario'nun kamu güvenliğinden sorumlu komisyon üyesi Dr. James Young.","Ontario'nun kamu güvenliğinden sorumlu komisyon üyesi Dr. James Young, ""Aşırı uyanık davranıyoruz"" dedi."
4.0,"Üç aylık dönem satışları beklentilerin üzerinde değer kazandı ve yıllık bazda yüzde 37 artarak 1,76 milyar avroya ulaştı.","Satışlar yıllık bazda yüzde 37 artarak 1,76 milyara yükselerek beklentilerin üzerinde gerçekleşti."
3.2,"Şirket, Q2 sonuçlarını yayınladığında gelecek ay tam mali yıl için revize edilmiş rehberlik yayınlayacağını söyledi.","Şirket, temmuz ortasında ikinci çeyrek sonuçlarını açıkladığında 2003 için rehberliğini yenileyeceğini söyledi."
4.0,"ICC'nin kriket yöneticisi David Richardson, ""Kırılmamış veya noktalı beyaz bir çizgi kullanıp kullanmamaya karar vermedik, ancak bu tanıtıcı olmaya değer bir deney"", dedi.","ICC'nin kriket yöneticisi Dave Richardson, ""Kırılmamış veya noktalı beyaz bir çizgi kullanıp kullanmamaya karar vermedik,"" dedi."
3.0,"Shinseki, Vietnam'daki çatışma ve ABD'nin Bosna'daki barış çabaları başkanlığını da kapsayan 38 yıllık kariyeri sonrasında Çarşamba günü emekliye ayrıldı.",Shinseki'nin kariyerinde Vietnam'daki savaş ve Bosna'daki ABD barış çabalarına başkanlık da yer aldı.
3.25,"Daire, su ve toprak örneklerini de devlet sağlık laboratuvarına gönderdi.",Su numuneleri analiz için eyalet sağlık departmanına gönderiliyor.
3.4,"""Ancak bu onları sivilleri korumak için mümkün olan her şeyi yapma yükümlülüğünden temizlemez ve gördüğümüz şey bu değildir.""","""Ancak bu, onları sivil zararı en aza indirmek için mümkün olan her şeyi yapma sorumluluğundan temizlemez."""
2.0,"Rowland'ın avukatı Ross Garber Salı günü yaptığı açıklamada, toplantıya katılacağını ve konuyla ilgili konuşmak isteyeceğini söyledi.","Rowland'ın hukuk müşaviri Ross Garber, valinin konut anlaşması hakkında yorumda bulunmayacağını söyledi."
3.4,Daha önce doğu Java'daki sırıtma mekaniğini sadece televizyonda görmüştü.,Bay Hughes televizyonda Amrozi'nin yüzünü görmüştü.
2.8,İki yıl sonra sigorta kapsamı başlayacaktı.,"Anlaşmaya göre, ilaç yardımları için Medicare kapsamı 2006 yılında başlayacak."
3.2,NASA uydu görüntüleri Arktik buzun on yılda yaklaşık yüzde 10 oranında küçüldüğini gösteriyor.,"Araştırmacılar, Kuzey Kutbu'ndaki deniz buzunun her on yılda bir yüzde 9 oranında yok olduğunu buldu."
3.2,"Fraley, 18 ülkenin biyoteknolojiyi benimsediğini belirterek, ""Biyoteknoloji ürünleri, tüm testler nedeniyle geleneksel ürünlerden daha güvenli olabilir."" dedi.","Monsanto'nun genel müdür yardımcısı Robert Fraley, ""Biyoteknoloji ürünleri, tüm testler nedeniyle geleneksel ürünlerden daha güvenli olabilir,"" dedi."
4.75,"Yüksek lisans derecesine sahip ulusal kurul sertifikalı bir öğretmen olan Kelley, 30.","Yüksek lisans derecesine sahip ulusal kurul sertifikalı bir öğretmen olan Kelley, 30."
3.25,"Viyana'da IAEA, henüz bir tarih belirlenmemiş olmasına rağmen ElBaradei'nin daveti kabul edeceğini söyledi.","Viyana'da, Uluslararası Atom Enerjisi Ajansı Pazartesi günü ElBaradei'nin İran'ın davetini kabul ettiğini, ancak henüz bir tarih belirlenmediğini söyledi."
4.25,"Salgın Kasım ayında anakaranın Guangdong eyaletinde başladı, ancak Çin Halk Cumhuriyeti dört ay boyunca yayılması hakkında doğru bir şekilde rapor vermeyi reddetti.","ÇHC salgını Kasım ayında Guandong eyaletinde başladı, ancak Komünist Parti hükümeti dört ay boyunca yayılması hakkında doğru bir şekilde rapor vermeyi reddetti."
5.0,"Conte, Druce'un cinayet suçlamasıyla karşı karşıya kalacağını söyledi.","Conte, Druce'un cinayetle suçlanacağını söyledi."
1.6,"Bu rakam, bir yıl önceki dönemdeki 35,18 milyon dolar veya hisse başına 24 sent ile karşılaştırıldığında.","Kazançlar, bir yıl önceki dönemde tekrarlanan 8 milyon abd doları tutarındaki vergi avantajından etkilenmiştir."
3.8,"Georgia'daki Young Harris Junior College'dan sol bek Nick Markakis, yedinci seçimle Orioles'e gitti.","Daha sonra Baltimore, Georgia'daki Young Harris Junior College'dan solak atıcı ve dış saha oyuncusu Nick Markakis'i aldı."
3.5,"Şehrin bizimle çalışmayı kabul edeceği ve bu konuda iyi niyetli tartışmalara gireceği konusunda umutluyuz.""","Alhart, valinin ""şehrin bizimle çalışmaya ve iyi niyetli tartışmalara devam edeceğine dair umutlu olduğunu"" söyledi."
4.75,Bazı kadınlar da bu kadar çok kadının bedensel mükemmellik arayışında estetik cerrahiye yönelmesi konusunda endişeli.,"Bazı kadınlar, bedensel mükemmellik arayışında her zamankinden daha fazla insanın kozmetik cerrahiye yöneldiği bir toplum hakkındaki endişelerini de dile getirmektedir."
3.0,Bildirim ilk olarak Cuma günü MSNBC tarafından bildirildi.,MSNBC.com CIA'in talebini ilk olarak Cuma günü bildirdi.
3.0,Ancak Dün Herald tarafından incelenen Haziran sayısında Peter Hollingworth'un fotoğrafı yok.,Ancak dün The Age tarafından incelenen derginin Haziran sayısında Dr Hollingworth'un fotoğrafı yok.
3.25,"""Bu konuda Suudilerle birlikte çalışmaya devam ediyoruz, ancak bu trajik olay zamanından dolayı istediğimiz ek güvenliği sağlamadılar.""","Bay Jordan, ""Ancak bu trajik olay zamanından dolayı talep ettiğimiz güvenliği sağlamadılar."" dedi."
3.25,"DEI tarafından yayınlanan bir açıklamada, Green'in aracı gelecek haftadan itibaren Lowe's Motor Speedway'deki Winston Open'da geçici olarak sürmeye başlayacağı belirtildi.","Green'in, gelecek hafta Lowe's Motor Speedway'deki Winston Open'dan başlayarak Dale Earnhardt Inc."
3.75,"Costa'nın yarı finaldeki rakibi, geçen yılki finalde yendiği İspanyol Juan Carlos Ferrero.","Costa, geçen yılki finalin rövanşında juan Carlos Ferrero ile oynayacak."
4.25,"Doktorlar, vücudun kendi östrojeninin hücre hasarına karşı koruduğunu ve kan akışını iyileştirdiğini tahmin ettiler.",İnançları östrojenin hücre hasarlarını önlediği ve kan akışını iyileştirdiği spekülasyonlarına dayanıyordu.
1.2,"Teknolojiye bağlı Nasdaq Bileşik Endeksi <.IXIC> 8,27 puan veya yüzde 0,51 artışla 1,633,53 seviyesinde gerçekleşti.",Daha geniş Standart & Fakir 500 Endeksi . SPX 4.3 puan veya yüzde 0.44 artışla 980.52'ye yükseldi.
5.0,"Alay sözcüsü Yüzbaşı Michael Calvert'e göre, kayıplar arasında Amerikalı bildirilmedi.","Alay sözcüsü Yüzbaşı Michael Calvert, kayıpların hiçbirinin Amerikalı olmadığını söyledi."
3.0,Seçim yapma hakları olduğunu düşünüyoruz.,"Ellison, ""PeopleSoft müşterilerinin seçme hakkını hak ettiğini düşünüyoruz."" dedi."
3.6,"Soruşturma kurulu üyesi Scott Hubbard, ""Dumanı tüten silahı bulduk."" dedi.","NASA'nın Kaliforniya'daki Ames Araştırma Merkezi'nin müdürü Hubbard, ""Dumanı tüten silahı bulduk"" dedi."
1.8,"Armstrong County Bölge Savcısı Scott Andreassi, ""Bu çocuk kelimenin tam anlamıyla ihmal edildi"" dedi.","Armstrong County Bölge Savcısı Scott Andreassi, evdeki birçok aile fotoğrafının Kristen'ı içermediğini söyledi."
4.0,"Microsoft Cuma günü yaptığı açıklamada, Apple Computer'ın Safari tarayıcısının rekabetini gerekçe göstererek Internet Explorer tarayıcısının gelecekteki Macintosh sürümlerinin geliştirilmesini durdurduğunu söyledi.","Microsoft, Macintosh bilgisayarlar için Internet Explorer tarayıcı yazılımının sürümlerini geliştirmeyi durduracak ve Apple'ın Safari'nin artık Apple'ın ihtiyacı olan tek şey olduğunu söylüyor."
3.8,Chapman hemen tutuklanmadı ve 3 Temmuz'da mahkemeye çıkması bekleniyor.,"Savcılar, tutuklanmayan Bay Chapman'ın önümüzdeki Perşembe günü mahkemeye çıkmasının beklendiğini söylediler."
2.4,"Başkan Bush'un kampanya başkanı Salı günü yaptığı açıklamada, Başkan Bush'un son üç ay içinde yeniden seçim kampanyası için 262 bin Amerikalının katkılarıyla 49,5 milyon dolar toplayarak rekor kırdığını söyledi.","Kampanyası Salı günü yaptığı açıklamada, Başkan Bush'un Mayıs ayındaki yeniden seçim kampanyasına başlamasından bu yana 83,9 milyon dolar topladığını ve bunun 70 milyon dolarını harcayacağını söyledi."
2.8,"Ohio, Indiana ve Michigan'daki yetkililer cesetleri aradı.","Şimdiye kadar yetkililer Pennsylvania, Ohio, Indiana ve Michigan'daki bölgeleri de aradılar."
3.2,"Başbakan, Avrupa hükümetlerinin ""temelsiz, bilim dışı korkular yüzünden tüm yeni biyo-ürünleri engellediğini"" söyledi.","Bush, ""Temelsiz, bilim dışı korkular yüzünden bütün yeni biyo-ürünleri engellediler."" dedi."
3.0,"Bir soru, Birleşmiş Milletler'in savaş yetkisine karşı suçlamayı önden yönlendirerek Washington'u çileden çıkaran Fransa'nın ""Evet"" oyu mu vereceği yoksa çekimser mi kalacağıydı.",Birleşmiş Milletler'in savaş onayına karşı suçlamayı üstlenerek Washington'u çileden çıkaran Fransa da değişiklik istedi.
3.4,"Luzerne Bölge Savcısı David Lupas Pazartesi günü düzenlediği basın toplantısında, yetkililerin davada 'önemli ilerlemeler kaydettirmeye devam ettiğini' söyledi.","Bu ölümlerle ilgili herhangi bir suçlamada bulunulmadı, ancak Luzerne Bölge Savcısı David Lupas yetkililerin davada ""önemli ilerlemeler kaydettirmeye devam ettiğini"" söyledi."
3.8,"ABD Konferans Kurulu, ilk çeyrek anketinde 53'e düştükten sonra iş güvenine ilişkin son önleminin 60'a ulaştığını açıkladı.","Konferans Kurulu, 2003'ün ilk çeyreğinde 53'e düşen iş güveni ölçüsünün en son ikinci çeyrekte 60'a yükseldiğini açıkladı."
3.25,"Yasa temsilcileri, uzlaşmayı görüşmek üzere geçen hafta davacıların avukatlarıyla görüşmeye başladılar.",Hem başpiskoposluk hem de davacıların avukatları mahkeme dışı uzlaşmaya varmak için geçen hafta toplanmaya başladılar.
1.5,Yaşlılar daha sonra ilaç maliyetlerinin yüzde 50'si 3.450 dolara kadar ödemek zorunda kalacak.,"Bunun üzerinde, Medicare tüm ilaç maliyetlerinin yüzde 90'ını ödeyecekti."
2.8,"Gösterişli girişimci, Avustralya Turizm Bakanı Joe Hockey ile Londra'da yaptığı görüşmeden sonra planı işaretledi.","Sir Richard, Avustralya Turizm Bakanı Joe Hockey ile Londra'da yaptığı toplantıdan sonra konuştu."
3.2,"Hükümet tahvilleri, Greenspan'ın Salı günü Kongre'ye ABD ekonomisinin ""uzun bir büyüme dönemine girişebileceğini"" söylemesi sonrasında sert bir şekilde satıldı.","Greenspan Salı günü Kongre'ye verdiği demeçte, ABD ekonomisinin ""sürekli bir büyüme dönemine girişebileceğini"" söyledi."
2.0,Kathy Nicolo (Jennifer Connelly) için ev istikrar ve aile anlamına gelir.,"Kathy Nicolo (Jennifer Connelly), ailesinin hayatının dağıldığını öğrenmemesi konusunda çaresizdir."
3.4,"Raporlara göre, Tedarik Yönetimi Enstitüsü'nün üretim dışı faaliyet endeksi Nisan ayında beklenmedik bir şekilde yükseldi.","Tedarik Yönetimi Enstitüsü, imalat dışı faaliyet endeksinin Mart ayındaki 47,9'dan 50,7'ye yükseldiğini açıkladı."
4.6,"DSÖ sözcüsü Maria Cheng de buna katılarak şunları söyledi: ""İzole edilmiş bir olaya çok benziyor.""","Dünya Sağlık Örgütü sözcüsü Maria Cheng, ""İzole edilmiş bir olaya çok benziyor"" dedi."
3.25,"Polis, iki küçük çocuğunun iki güne kadar dairede yalnız olduğunu söyledi.","Polis, iki küçük çocuğunun ölü yatarken iki güne kadar orada yalnız olduğunu söyledi."
3.75,"Rahip, Rahip John F. Johnston, 64 yaşında, Jackson Heights'daki 35.","Polis açıklamasına göre, 64 yaşındaki Rahip John Johnston telefon görüşmesi davasında ağır taciz ve suç işlemekle suçlandı."
4.5,"Anlaşmada 4,1 milyon dolarlık avukatlık ücreti ve masrafı bulunuyor.",Davacıların avukatları anlaşmadan 4.1 milyon dolar alacaktı.
3.667,Üç hayır oyu şimdilik onu öldürür.,ACC'nin genişlemesini yok etmek için üç oy gerekir.
3.333,Aralarında Kanada'nın da bulunduğu 42 ülkeden yaklaşık 660 mahkum tutuluyor ve bunların çoğu Afganistan'daki El Kaide ağına karşı savaş sırasında ele geçirildi.,42 ülkeden yaklaşık 660 mahkum Guantanamo Körfezi'ndeki Deniz Üssü'nde tutuluyor ve bunların çoğu Afganistan'da El Kaide'ye karşı savaş sırasında ele geçirildi.
1.0,Kansas'ı kapsayan John A. Dvorak'a ulaşmak için (816) 234-7743 numaralı telefonu arayın veya jdvorak@kctar.com e-posta gönderin.,Johnson County belediye muhabiri Brad Cooper'a ulaşmak için (816) 234-7724 numaralı telefonu arayın veya bcooper@kcstar.com e-posta gönderin.
1.0,Savcı Jim Hardin kararı Kathleen Peterson'ın ailesi için bir zafer olarak nitelendirdi.,Kathleen Peterson'ın ailesinin üyeleri yoktu.
5.0,"Ve şimdi söylemek istediği her şey,"" dedi Stone County Hemşirelik ve Rehabilitasyon Merkezi sosyal direktörü Alesha Badgley bu hafta.","Ve şimdi söylemek istediği her şey,"" dedi Stone County Hemşirelik ve Rehabilitasyon Merkezi sosyal direktörü Alesha Badgley."
5.0,"2,3 milyon üyesi olan Piskoposluk Kilisesi'nin ulusal mezhebi, 77 milyon üyeli Anglikan Komünyonu'nun ABD şubesidir.","2,3 milyon üyesi bulunan Piskoposluk Kilisesi, 77 milyon taraftarı olan dünya çapındaki Anglikan Komünyonu'nun Amerika koludur."
3.4,"Fiorina, ""HP'nin artık bir entegrasyon hikayesi olmadığını söylemekten eminim."" dedi.","""Hala yapacak çok şeyimiz var, ancak HP'nin artık bir entegrasyon hikayesi olmadığından eminim."""
3.5,"İngiliz polisi Salı günü erken saatlerde, gövdesi Thames Nehri'nde bulunan Afrikalı bir çocuğun ritüel cinayeti şüphesiyle ilgili olarak 21 kişiyi tutukladı.","Polis, başı ve uzuvsuz gövdesi Thames nehrinde yüzen Nijeryalı genç bir çocuğun öldürülmesiyle ilgili olarak 21 kişiyi tutukladı."
1.25,"Öğleden sonra, Dow Jones sanayi ortalaması 12.81 veya yüzde 0.1 artarak 9,331.77 seviyesinde gerçekleşti ve Pazartesi günü 201 puan değer kazanarak Temmuz 2002'den bu yana en yüksek seviyesine ulaştı.","Sabah işlemlerinde Dow Jones sanayi ortalaması Pazartesi günü 201 puan değer kazanarak 9,310.20 seviyesinden 8.76 veya yüzde 0.1 düştü."
3.25,"Eric Gagne, 23.",Gagne 23.
3.25,Hisse senetleri NASDAQ'da 52 haftanın en yüksek seviyesinin hemen altında 32.17 dolardan 1.54 dolar yükselişle kapandı.,EchoStar'ın hisselerinin ticareti Salı gününü 1.54 dolar artışla 32.17 dolarla 52 haftanın en yüksek seviyesinden kapattı.
3.75,"Janice Kelly, kocasının üst düzey Savunma Bakanlığı yetkililerinden adının kamuoyuna açıklanmayacağına dair güvence aldığını söyledi.","Soruşturmaya, kocasının hat yöneticisi ve üst düzey bakanlık yetkililerinden, ortaya çıktığında adının kamuoyuna açıklanmayacağına dair güvence aldığını söyledi."
3.25,"Zanlılar suçlu bulundukları takdirde, 11 suçlamanın her biri için beş yıla kadar hapis ve 250 bin dolar para cezasına çarptırılacak.","Suçlu bulundukları takdirde, her biri beş yıla kadar hapis ve ilgili kazanç miktarına göre 250 bin dolar veya daha fazla para cezasıyla karşı karşıya."
3.6,"ABD kurumsal tahvil getirisi, Wall Street'in Kuzey Amerika'da şimdiye kadarki en büyük elektrik kesintisinden sonra ayağa kalkmak için çalışırken Cuma günü sivilceli işlemlerde sıkılaştı.","ABD hisse senetleri Cuma günü, Wall Street'in Kuzey Amerika'daki en büyük elektrik kesintisinin ardından yeniden toparlanmasıyla tüy-ışık hacminde hafif yükseldi."
4.4,"Hunt, yolculara neler olduğu söylenmese de tahliyenin sorunsuz geçtiğini söyledi.","Yolcular, neler olup bitenler söylenmemesine rağmen sorunsuz bir şekilde tahliye edildiklerini söyledi."
3.6,1993-2002 yılları arasında 142 cinsel saldırı iddiası rapor edildi.,1993'ten 2002'ye kadar akademide 142 cinsel saldırı rapor edildi.
3.75,"Weinshall'a göre Smith saniyeler sonra sadece ""Aman Tanrım"" dedi.","Kazadan sonraki saniyelerde, Kaptan Smith basitçe ""Aman Tanrım"" dedi."
2.5,"Cooley, Muhammed'in de benzer şekilde Malvo'nun duruşma öncesi duruşmasına tanık olarak çağrılacağını beklediğini söyledi.","Lee Boyd Malvo, keskin nişancı zanlısı John Allen Muhammed'in duruşma öncesi duruşmasında Çarşamba günü tanık olarak çağrılacak."
3.25,"Kızı Linda Hope, ""Bizi gerçekten yüzünde bir gülümsemeyle ve son sözleri olmadan bıraktı"", dedi.","""Bizi gerçekten yüzünde bir gülümsemeyle bıraktı ve son sözleri yoktu ... Her birimize bir öpücük verdi ve hepsi bu kadar."" dedi."
3.333,Ayrıca menkul kıymetler sektöründen kalıcı olarak men edilebilir.,"Young para cezası, uzaklaştırma veya menkul kıymetler sektöründen kalıcı olarak men edilmeyle karşı karşıya."
3.0,"Oscar ödüllü film yönetmeni, ""İlham verici, özverili ve cesur bir çifttiler"" dedi.","Dedi ki: ""Onlar ilham verici bir çiftti, özverili ve cesurdular."
2.2,"İkinci bir kurban, Michael Walker, 23 yaşında, gövdesinden vurulmuş, akciğerini delip geçen kurşun.","Diğer kurban, Michael Walker, 550 Barbey Caddesi'nden, boynundan vurulmuş."
4.6,"Kriminolog olan Healey verdiği bir röportajda, buradaki ve ülke genelindeki yasa koyucular arasındaki duyguların çoğunun idam cezasına karşı ihtiyatlı olduğunu kabul etti.","Kriminolog olan Bayan Healey verdiği bir röportajda, burada ve ülke genelinde birçok milletvekilinin idam cezasına karşı ihtiyatlı olduğunu söyledi."
3.2,"Franklin County Yargıç-yöneticisi Teresa Barton, bir itfaiyeciye yıldırım çarptığını ve Frankfort Bölge Tıp Merkezi'ne götürüldüğünü söyledi.","Bir ilçe itfaiye eri, yıldırım çarptı ve Frankfort Bölge Tıp Merkezi'nde durumu stabildi."
5.0,"Polis sözcüsü Tuğgeneral Edward Aritonang Cumartesi günü yaptığı açıklamada, biri Cakarta'da, diğeri de Orta Cava'nın Magelang kentinde olmak üzere iki kişinin daha tutuklandığını doğruladı.","Polis sözcüsü Tuğgeneral Edward Aritonang dün yaptığı açıklamada, biri Cakarta'da, diğeri de Orta Cava'nın Magelang kentinde olmak üzere iki kişinin daha tutuklandığını doğruladı."
3.6,"Federal Yargıç William Barbour Salı günü yaptığı açıklamada, Avants'ın vahşice katledilmede pişmanlık göstermediği için en ağır cezayı verdiğini söyledi.","ABD Bölge Hakimi William Barbour, Avants'ın pişmanlık göstermediği için maksimumu uyguladığını söyledi."
3.2,Yaklaşık 120 potansiyel jüri üyesinin uzun bir anketi doldurması isteniyordu.,Jüri üyeleri 40'lı gruplar halinde mahkeme salonuna alındı ve bir anket doldurmaları istendi.
4.6,"Beş alternatif jüri üyesi de seçilirken, son jüri cuma sabahı panelden seçilecek.","Beş alternatif jüri üyesi de seçilirken, altıncı alternatif Cuma günü seçilecek."
3.8,Kaliforniya Çiftlik Bürosu yorum yapmak isteyen çağrılara hemen geri dönmedi.,Kaliforniya Çiftlik Bürosu Salı günkü karara hemen resmi bir yanıt vermedi.
3.4,Ancak başbakan BBC'ye anketlerden rahatsız olmadığını ve doğru olduğuna inandığı şeyi yapmaya devam edeceğini söyledi.,Anketlerden rahatsız olmadığını ve hem dış hem de iç politikada doğru olduğuna inandığı şeyi yapmaya devam edeceğini söyledi.
3.6,"General Sattler, Aden Körfezi ve Hint Okyanusu'ndaki gemiye dayanan birleşik bir ortak görev gücüne başkanlık ediyor.","General Sattler, Whitney Dağı komuta gemisinde birleşik bir müşterek görev gücüne başkanlık ediyor."
2.2,Thomson First Call'a göre Wall Street analistleri hisse başına 22 sent bekliyordu.,"Sonuçlar, Thomson First Call'un anketine katılan analistlerin tahmininden 3 sent daha düşüktü."
3.6,"Yasal karar, Hewlett-Packard Co.'nun şirket için teklif ve teklif verebileceğine dair üç günlük yoğun spekülasyonların ardından geliyor.","Yasal karar, RIM'in hisse senetlerinde PC devi Hewlett-Packard Co.'nun şirket için teklif verebileceği yönündeki spekülasyonlar üzerine üç günlük vahşi volatilitenin ardından geldi."
3.8,Bulgular Annals of Internal Medicine dergisinin 1 Temmuz sayısında yayınlandı.,Bulgular bugün Annals of Internal Medicine dergisinde yayınlanıyor.
4.0,Söz konusu tedbirler Cuma gününe kadar tam Senato tarafından alınabilir.,"Ratliff, iki tedbiri Cuma gününe kadar tam Senato' ya getirmeyi umduğunu söyledi."
1.733,Enron sözcüsü Eric Thode arabuluculuk emri hakkında yorum yapmaktan kaçındı.,"Enron sözcüsü Eric Thode, ""Bunun harika bir haber olduğunu düşünüyoruz,"" dedi."
4.0,"Çalışma Bakanlığı analistleri, işletmelerin anketinden elde edilen bordro istatistiklerinin ekonominin daha doğru bir resmini sağladığını, çünkü anket rakamlarının daha büyük bir örneğe dayandığını düşünüyor.","Analistler, bordro istatistiklerinin daha büyük bir örneğe dayandıkları için ekonominin daha doğru bir resmini sağladığına inandıklarını söylediler."
2.8,Ailesi onun hayatta kalmasını istiyor; Kocası yapay olarak hayatta kalmak istemediğini söylüyor.,"Michael Schiavo, karısının asla yapay olarak hayatta kalmak istemediğini savundu."
3.2,"Daha önce France Inter-Radio'ya verdiği demeçte ""Sanırım artık olanları gerçek bir salgın olarak nitelendirebiliriz."" dedi.","Sağlık Bakanı Jean-Francois Mattei France Inter radyosunda yaptığı açıklamada, ""Artık olanları gerçek bir salgın olarak nitelendirebileceğimizi düşünüyorum."" dedi."
1.8,39 yaşındaki Terri Schiavo'nun önümüzdeki iki hafta içinde son birkaç yılını geçirdiği Tampa bölgesindeki bakımevinde ölmesi bekleniyor.,"Babası Bob Schindler, 39 yaşındaki Terri Schiavo'nun birkaç yıldır yaşadığı Tampa Bay bölgesindeki bakımevinde prosedürden geçtiğini söyledi."
3.75,"Palumbo, Kodak'a katılmadan önce Procter & Gamble Corp. için çalıştı ve burada Folgers ve Pantene şampuanı gibi ürünleri yönetti.","Eastman Kodak'a katılmadan önce, Bay Palumbo Procter & Gamble için üst düzey pazarlama pozisyonlarında yer ederek görev yaptı."
3.75,Bay McDevitt'e Solomon'larda polisliğin üç önemli yönünün kontrolü verildi.,Bay McDevitt' e komiser William Morrell tarafından polisliğin üç yönünün kontrolü verildi.
2.909,Rockingham'daki North Carolina Speedway'deki yetkililere ulaşılamadı.,NASCAR yetkililerine Salı günü yorum için ulaşılamadı.
3.4,Çocuğun gözlem için Nassau County Tıp Merkezi'ne götürüldüğünü söylediler.,"Çocuk Nassau Üniversitesi Tıp Merkezi'ne götürüldü ve personel ""iyi olduğunu"" söyledi."
3.6,Global Crossing sözcüsü Tisha Kresler yorum yapmaktan kaçındı.,Bir Global Crossing temsilcisi hemen yorum yapmadı.
2.6,Sendikalar Mart ayında Yale'in yemekhanelerinden biri hariç hepsini kapatmaya zorlayan beş günlük bir grev de düzenlediler.,Sendikalar Mart ayında da beş günlük grev düzenlediler; grevler son 10 sözleşmenin sekizinin önüne çıktı.
3.8,"Rick Perry, kumarın genişletilmesine karşı olsa da Piyango Komisyonu'nun devamını veto etmekte isteksiz olacağını söyledi.","Rick Perry kumarın genişletilmesine karşı çıkıyor, ancak piyango günbatımı tasarısını veto etmek için ""zorlanacağını"" söyledi."
1.6,"Öğleden sonraki işlemlerde Nasdaq bileşik endeksi 8.34 veya yüzde 0.5 yükselerek 1,790.47'ye yükseldi.","Nasdaq Bileşik Endeksi . IXIC 8.59 puan veya yüzde 0.48 düşüşle 1,773.54'e geriledi."
3.8,"Kentucky'de Demokrat Başsavcı Ben Chandler, ABD Temsilcisi Ernie Fletcher ile karşı karşıya.","Üç dönem Meclis üyesi olan Cumhuriyetçi Ernie Fletcher, Demokrat eyalet başsavcısı Ben Chandler ile mücadele ediyor."
3.4,Dow Jones Endüstriyel Ortalama endeksi 98.32 veya yaklaşık yüzde 1.1 düşerek 9011.53'e geriledi.,Dow Jones sanayi ortalaması günü 98.32 puan düşüşle 9.011.53 seviyesinden tamamladı.
2.5,"Enron'un 401(k) planı yaklaşık 20.000 işçi, emekli ve hak sahibini kapsıyor.","Enron'un hisseleri, işçilerin 401(k) portföyünün %61'ini oluşturuyor."
3.75,ABD Senatosu yargı komitesi dün asbest maruziyeti mağdurlarına ödeme yapmak için bir güven fonu oluşturma savaşında önemli bir engeli aştı.,"Senato yargı komitesi Salı günü, asbest maruziyeti mağdurlarına ödeme yapmak için bir güven fonu oluşturma savaşında önemli bir engeli aştı, ancak en zor engeller devam ediyor."
3.167,Ama 2004-05 için iki yıllık 117.4 milyar dolarlık bütçeyi onaylayıp onaylamayacağını söylemedi.,Bütçeyi onaylayıp onaylamayacağını henüz bilmediğini söyledi.
2.5,Uzaktan Yordam Çağrısı (RPC) güvenlik açığının olası tehlikelerini abartmak zor olacaktır.,"Kusur, bilgisayarlar arası iletişimle ilgilenen Uzaktan Yordam Çağrısı (RPC) protokolünü içerir."
4.25,"Obezite sağlık sorunları riskini artırabilse de, şüpheciler sigara ve yüksek kolesterolün de arttığını savunuyor.","Obezite bir dizi sağlık sorunu riskini artırsa da, şüpheciler, hastalık olarak kabul olmayan sigara ve yüksek kolesterolün de arttığını savunuyor."
2.75,"Michelle Wie, Pazar günü 27.",Pazar günü ABD Kadınlar Amatör Kamu Bağlantıları'ndaki zaferinden sonra ilk kupasını aldı.
2.75,"Sony, PSP'de 4.5 inç LCD ekran, Memory Stick genişletme yuvalarının da yer alacağını söyledi.",Ayrıca arkadan aydınlatmalı LCD ekran ve bellek genişletme tesislerinde 4.5'lik bir ekrana sahiptir.
